7/26/2017 7:36:59 PM ==> UserID: 3 || Operacja wykonana: zwrot przedmiotu o ID: 5
7/26/2017 7:37:02 PM ==> UserID: 3 || Operacja wykonana: zwrot przedmiotu o ID: 1
7/26/2017 7:37:06 PM ==> UserID: 3 || Operacja wykonana: zwrot przedmiotu o ID: 5
7/26/2017 7:37:09 PM ==> UserID: 3 || Operacja wykonana: zwrot przedmiotu o ID: 5
7/26/2017 7:37:11 PM ==> UserID: 3 || Operacja wykonana: zwrot przedmiotu o ID: 5
7/26/2017 7:37:13 PM ==> UserID: 3 || Operacja wykonana: zwrot przedmiotu o ID: 5
7/26/2017 7:37:14 PM ==> UserID: 3 || Operacja wykonana: zwrot przedmiotu o ID: 1
7/26/2017 7:37:17 PM ==> UserID: 3 || Operacja wykonana: zwrot przedmiotu o ID: 1
7/26/2017 7:38:30 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 7:39:57 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 7:40:55 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 7:41:00 PM ==> UserID: 3 || Operacja wykonana: wypożyczenie przedmiotu o ID: 1
7/26/2017 7:41:12 PM ==> UserID: 3 || Operacja wykonana: zwrot przedmiotu o ID: 1
7/26/2017 7:42:11 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 7:44:32 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 8:12:36 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 8:17:04 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 8:20:22 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 8:21:56 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 8:22:00 PM ==> UserID: 3 || Operacja wykonana: wypożyczenie przedmiotu o ID: 1
7/26/2017 8:29:33 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 8:35:59 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 8:36:55 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 8:37:37 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 8:38:22 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 8:39:50 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/26/2017 8:40:44 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/27/2017 3:38:39 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/27/2017 4:48:17 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/27/2017 4:49:07 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/27/2017 4:50:10 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/27/2017 4:51:48 PM ==> UserID:  || Data: 7/27/2017 4:50:13 PM || Operacja wykonana: wygenerowanie raportu z aktualnie wypożyczonym sprzętem
7/27/2017 4:52:28 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
